City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,ilulissat,69.2167,-51.1,19.42,93,100,0.0,GL,1712884855
82,egilsstadir,65.2653,-14.3948,33.71,93,100,11.5,IS,1712884855
83,partenit,44.578,34.3446,58.77,67,15,9.42,UA,1712884855
84,kaynarca,41.0308,30.3075,44.78,92,6,1.45,TR,1712884855
85,hermanus,-34.4187,19.2345,54.81,76,89,14.99,ZA,1712884856
86,inirida,3.8653,-67.9239,80.38,79,92,1.07,CO,1712884856
87,vadso,70.0744,29.7487,32.88,80,100,14.97,NO,1712884856
88,malanje,-9.5402,16.341,66.83,98,99,3.27,AO,1712884856
89,port elizabeth,-33.918,25.5701,58.1,77,0,10.36,ZA,1712884856
90,suleja,9.1758,7.1808,85.19,30,100,4.65,NG,1712884857
91,fisterra,42.9049,-9.2629,56.75,76,35,4.7,ES,1712884857
92,lihue,21.9789,-159.3672,74.79,80,75,9.22,US,1712884857
93,jamestown,42.097,-79.2353,62.19,99,100,11.99,US,1712884857
94,leh,34.1667,77.5833,10.2,84,70,4.03,IN,1712884857
95,danville,36.586,-79.395,70.45,83,75,10.36,US,1712884566
96,anadyr,64.75,177.4833,14.5,72,0,20.13,RU,1712884858
97,mil'kovo,55.6078,37.7956,49.05,66,100,8.57,RU,1712884858
98,ilhabela,-23.7781,-45.3581,75.33,89,100,1.57,BR,1712884858
99,longyearbyen,78.2186,15.6401,4.84,66,0,2.3,SJ,1712884858
100,noceto,44.8114,10.1713,60.71,78,54,4.61,IT,1712884858
101,nichinan,31.6,131.3667,64.08,83,100,8.63,JP,1712884859
102,laguna de perlas,12.3429,-83.6712,82.24,80,93,11.39,NI,1712884859
103,axim,4.8699,-2.2405,79.83,83,96,2.35,GH,1712884859
104,hami,42.8,93.45,61.0,30,55,7.09,CN,1712884859
105,sao joao do paraiso,-15.3136,-42.0144,70.74,86,100,8.43,BR,1712884859
106,presidente epitacio,-21.7633,-52.1156,78.84,67,100,5.91,BR,1712884860
107,aconibe,1.2968,10.9369,70.27,99,100,1.86,GQ,1712884860
108,ilha de mocambique,-15.0342,40.7358,80.67,83,87,13.82,MZ,1712884860
109,punta arenas,-53.15,-70.9167,46.51,71,40,35.68,CL,1712884860
110,flen,59.0583,16.5878,48.29,84,14,11.68,SE,1712884860
111,whangarei,-35.7317,174.3239,78.22,46,31,4.97,NZ,1712884860
112,igarka,67.4667,86.5833,-13.99,99,83,7.0,RU,1712884861
113,martapura,-3.4167,114.85,82.13,80,98,2.55,ID,1712884861
114,klyuchi,52.2667,79.1667,27.01,73,4,5.93,RU,1712884861
115,ancud,-41.8697,-73.8203,48.06,73,0,5.37,CL,1712884862
116,kiruna,67.8557,20.2251,23.92,93,20,4.61,SE,1712884862
117,frontera,26.9333,-101.45,87.55,16,40,6.91,MX,1712884862
118,margaret river,-33.95,115.0667,63.36,63,6,12.73,AU,1712884862
119,soure,-0.7167,-48.5233,78.39,93,100,7.29,BR,1712884862
120,saynshand,44.8824,110.1163,54.88,32,99,6.31,MN,1712884863
121,akjoujt,19.6969,-14.4164,83.7,15,0,9.24,MR,1712884863
122,luganville,-15.5333,167.1667,86.27,69,23,7.05,VU,1712884863
123,santo angelo,-28.2992,-54.2631,65.03,94,99,14.05,BR,1712884863
124,queenstown,-31.8976,26.8753,38.93,88,0,1.43,ZA,1712884863
125,carnarvon,-24.8667,113.6333,73.83,52,0,14.54,AU,1712884864
126,ushuaia,-54.8,-68.3,46.06,71,0,28.77,AR,1712884861
127,ta`u,-14.2336,-169.5144,83.71,79,14,10.02,AS,1712884864
128,sabha,27.0377,14.4283,71.42,16,1,21.79,LY,1712884864
129,port moresby,-9.4431,147.1797,89.02,62,40,12.66,PG,1712884864
130,nikolayevsk-on-amure,53.1406,140.73,45.21,64,9,3.0,RU,1712884865
131,ingeniero guillermo n. juarez,-23.9,-61.85,59.04,97,100,10.98,AR,1712884865
132,horta,38.5333,-28.6333,60.03,94,0,3.0,PT,1712884865
133,upper grand lagoon,30.1633,-85.7408,63.09,71,0,8.99,US,1712884865
134,kasongo,-4.45,26.6667,70.5,96,98,2.28,CD,1712884865
135,emboscada,-25.15,-57.35,77.61,96,20,4.61,PY,1712884866
136,anna regina,7.2644,-58.5077,80.56,78,12,9.42,GY,1712884866
137,motueka,-41.1333,173.0167,67.1,96,59,10.67,NZ,1712884866
138,acarau,-2.8856,-40.12,79.23,87,100,6.06,BR,1712884663
139,aanekoski,62.6946,25.818,37.67,100,100,7.54,FI,1712884866
140,aykhal,66.0,111.5,-5.19,88,15,5.57,RU,1712884866
141,caraballeda,10.6112,-66.8522,80.67,89,40,3.44,VE,1712884867
142,lakatoro,-16.0999,167.4164,85.89,70,20,6.29,VU,1712884867
143,ghormach,35.7306,63.7826,63.91,66,100,3.67,AF,1712884867
144,new norfolk,-42.7826,147.0587,62.1,82,100,2.66,AU,1712884867
145,eraan,9.0629,117.7016,87.42,58,27,3.4,PH,1712884867
146,prince george,53.9166,-122.753,49.28,67,100,14.97,CA,1712884868
147,atafu village,-8.5421,-172.5159,85.66,74,98,9.31,TK,1712884868
148,richards bay,-28.783,32.0377,63.03,63,25,13.51,ZA,1712884868
149,chaiyaphum,15.75,102.0,89.8,41,10,4.63,TH,1712884868
150,barentu,15.1139,37.5928,74.64,37,9,1.54,ER,1712884869
151,rongelap,11.1635,166.8941,80.22,77,100,19.69,MH,1712884869
152,tiksi,71.6872,128.8694,-10.23,90,11,16.15,RU,1712884869
153,hadibu,12.65,54.0333,80.58,78,15,5.23,YE,1712884869
